2018.03.12.11.55.16,  Creating HP: success
2018.03.12.11.55.17,  writing to HP: RESET
2018.03.12.11.55.17,  writing to HP: END 2; DCV AUTO; AZERO ON;DELAY 0;NPLC 20
2018.03.12.11.55.17,  writing to HP: ERR?
2018.03.12.11.55.17,  reading HP: 0

0

2018.03.12.11.55.22,  reading HP: -1.721194554E-07

2018.03.12.11.55.27,  reading HP: -1.411997927E-07

2018.03.12.11.55.27,  writing to HP: RESET
2018.03.12.11.55.27,  writing to HP: END 2; DCV AUTO; AZERO ON;DELAY 0;NPLC 20

2018.03.12.11.55.27,  writing to HP: ERR?
2018.03.12.11.55.27,  reading HP: 0

meter ESR = 0


Spread sheet row 2
2018.03.12.11.55.27,  writing to HP: ERR?
2018.03.12.11.55.27,  reading HP: 0

meter ESR = 0


2018.03.12.11.55.27,  writing to HP: DCV 0.1
2018.03.12.11.55.27,  writing to HP: LFREQ LINE
2018.03.12.11.55.58,  reading HP: -1.264695691E-07

2018.03.12.11.55.58, -1.264695691e-07

2018.03.12.11.55.58,  reading HP: -1.054403268E-07

2018.03.12.11.55.59, -1.054403268e-07

2018.03.12.11.55.59,  reading HP: -6.676416785E-08

2018.03.12.11.56.00, -6.676416785e-08

2018.03.12.11.56.00,  reading HP: -1.217637246E-07

2018.03.12.11.56.01, -1.217637246e-07

2018.03.12.11.56.01,  reading HP: -1.170578802E-07

2018.03.12.11.56.01, -1.170578802e-07

2018.03.12.11.56.01,  reading HP: -1.544105204E-07

2018.03.12.11.56.02, -1.544105204e-07

2018.03.12.11.56.02,  reading HP: -6.176420815E-08

2018.03.12.11.56.03, -6.176420815e-08

2018.03.12.11.56.03,  reading HP: -9.382277333E-08

2018.03.12.11.56.04, -9.382277333e-08

2018.03.12.11.56.04,  reading HP: -6.294066925E-08

2018.03.12.11.56.05, -6.294066925e-08

2018.03.12.11.56.05,  reading HP: -4.264671515E-08

2018.03.12.11.56.06, -4.264671515e-08

2018.03.12.11.56.06,  reading HP: -1.563222697E-07

2018.03.12.11.56.06, -1.563222697e-07

2018.03.12.11.56.06,  reading HP: -4.308788806E-08

2018.03.12.11.56.07, -4.308788806e-08

2018.03.12.11.56.07,  reading HP:  5.999951649E-08

2018.03.12.11.56.08, 5.999951649e-08

2018.03.12.11.56.08,  reading HP: -4.249965751E-08

2018.03.12.11.56.09, -4.249965751e-08

2018.03.12.11.56.09,  reading HP: -1.054403268E-07

2018.03.12.11.56.10, -1.054403268e-07

2018.03.12.11.56.10,  reading HP: -1.432341398E-07

2018.03.12.11.56.10, -1.432341398e-07

2018.03.12.11.56.10,  reading HP: -1.676457078E-07

2018.03.12.11.56.11, -1.676457078e-07

2018.03.12.11.56.11,  reading HP: -6.999943590E-08

2018.03.12.11.56.12, -6.99994359e-08

2018.03.12.11.56.12,  reading HP: -7.044060882E-08

2018.03.12.11.56.13, -7.044060882e-08

2018.03.12.11.56.13,  reading HP: -6.147009287E-08

2018.03.12.11.56.14, -6.147009287e-08

2018.03.12.11.56.14,  writing to HP: LINE?
2018.03.12.11.56.15,  reading HP:  50.0228548E+00

Spread sheet row 3
2018.03.12.11.56.15,  writing to HP: ERR?
2018.03.12.11.56.15,  reading HP: 0

meter ESR = 0


2018.03.12.11.56.15,  writing to HP: DCV 1.0
2018.03.12.11.56.15,  writing to HP: LFREQ LINE
2018.03.12.11.56.46,  reading HP: -7.511133736E-08

2018.03.12.11.56.46, -7.511133736e-08

2018.03.12.11.56.46,  reading HP: -2.209156981E-08

2018.03.12.11.56.47, -2.209156981e-08

2018.03.12.11.56.47,  reading HP: -2.945542641E-09

2018.03.12.11.56.47, -2.945542641e-09

2018.03.12.11.56.47,  reading HP: -8.247519396E-08

2018.03.12.11.56.48, -8.247519396e-08

2018.03.12.11.56.48,  reading HP: -2.503711245E-08

2018.03.12.11.56.49, -2.503711245e-08

2018.03.12.11.56.49,  reading HP:  1.472771321E-09

2018.03.12.11.56.50, 1.472771321e-09

2018.03.12.11.56.50,  reading HP: -1.237127909E-07

2018.03.12.11.56.51, -1.237127909e-07

